I, J, U, V, Uerr, Verr 
178,97,21.8186,-31.2422,0.9824,1.0196
178,98,21.8186,-31.2422,0.9824,1.0196
178,99,21.8186,-31.2422,0.9824,1.0196
178,100,4.2642,-31.8519,0.9922,1.0098
178,101,4.2642,-31.8519,0.9922,1.0098
178,102,4.2642,-31.8519,0.9922,1.0098
178,103,6.4618,-32.1074,0.9922,1.0098
178,104,6.4618,-32.1074,0.9922,1.0098
178,105,6.4618,-32.1074,0.9922,1.0098
178,106,6.4618,-32.1074,0.9922,1.0098
178,107,13.5935,-40.2289,0.9922,1.0098
178,108,13.5935,-40.2289,0.9922,1.0098
178,109,13.5935,-40.2289,0.9922,1.0098
178,110,13.5935,-40.2289,0.9922,1.0098
178,111,12.7086,-43.9659,0.9976,1.0044
178,112,12.7086,-43.9659,0.9976,1.0044
178,113,12.7086,-43.9659,0.9976,1.0044
178,114,12.7086,-43.9659,0.9976,1.0044
178,115,3.0866,-30.0833,1.0117,1.0167
178,116,3.0866,-30.0833,1.0117,1.0167
178,117,3.0866,-30.0833,1.0117,1.0167
178,118,3.0866,-30.0833,1.0117,1.0167
179,71,25.6187,-3.8803,1.2543,1.6488
179,72,25.6187,-3.8803,1.2543,1.6488
179,73,25.6187,-3.8803,1.2543,1.6488
179,74,25.6187,-3.8803,1.2543,1.6488
179,75,20.4486,-8.1615,1.1617,1.2310
179,76,20.4486,-8.1615,1.1617,1.2310
179,77,20.4486,-8.1615,1.1617,1.2310
179,78,20.4486,-8.1615,1.1617,1.2310
179,79,12.8986,-15.0690,1.2432,1.1458
179,80,12.8986,-15.0690,1.2432,1.1458
179,81,12.8986,-15.0690,1.2432,1.1458
179,82,12.8986,-15.0690,1.2432,1.1458
179,83,6.5223,-18.6645,1.6675,1.2288
179,84,6.5223,-18.6645,1.6675,1.2288
179,85,6.5223,-18.6645,1.6675,1.2288
179,86,6.5223,-18.6645,1.6675,1.2288
179,87,31.8981,-18.1403,0.9783,1.0237
179,88,31.8981,-18.1403,0.9783,1.0237
179,89,31.8981,-18.1403,0.9783,1.0237
179,90,31.8981,-18.1403,0.9783,1.0237
179,91,27.3640,-29.3590,0.9783,1.0237
179,92,27.3640,-29.3590,0.9783,1.0237
179,93,27.3640,-29.3590,0.9783,1.0237
179,94,27.3640,-29.3590,0.9783,1.0237
179,95,21.8186,-31.2422,0.9824,1.0196
179,96,21.8186,-31.2422,0.9824,1.0196
179,97,21.8186,-31.2422,0.9824,1.0196
179,98,21.8186,-31.2422,0.9824,1.0196
179,99,4.2642,-31.8519,0.9922,1.0098
179,100,4.2642,-31.8519,0.9922,1.0098
179,101,4.2642,-31.8519,0.9922,1.0098
179,102,4.2642,-31.8519,0.9922,1.0098
179,103,6.4618,-32.1074,0.9922,1.0098
179,104,6.4618,-32.1074,0.9922,1.0098
179,105,6.4618,-32.1074,0.9922,1.0098
179,106,6.4618,-32.1074,0.9922,1.0098
179,107,13.5935,-40.2289,0.9922,1.0098
179,108,13.5935,-40.2289,0.9922,1.0098
179,109,13.5935,-40.2289,0.9922,1.0098
179,110,13.5935,-40.2289,0.9922,1.0098
179,111,12.7086,-43.9659,0.9976,1.0044
179,112,12.7086,-43.9659,0.9976,1.0044
179,113,12.7086,-43.9659,0.9976,1.0044
179,114,12.7086,-43.9659,0.9976,1.0044
